round,Centralized,model,c_loss,c_accuracy,c_recall,c_precision,c_f1_score,d_accuracy,d_recall,d_precision,d_f1_score
1,Centralized,Densenet121,0.10610500628948212,0.1898,0.18200478888543248,0.1898,0.1626685494263367,,,,
2,Centralized,Densenet121,0.09452771346569061,0.2557,0.25789815728304005,0.2557,0.23323740953477187,,,,
3,Centralized,Densenet121,0.08620870918035507,0.3041,0.31452425124875694,0.3041,0.28897935686914245,,,,
4,Centralized,Densenet121,0.08223337259292603,0.336,0.3572388020495933,0.33599999999999997,0.3268296070009217,,,,
5,Centralized,Densenet121,0.08052253996133804,0.3444,0.3637281074829004,0.3444,0.33740980711916196,,,,
6,Centralized,Densenet121,0.0757149531364441,0.3855,0.39498280365122196,0.38549999999999995,0.3761510151321045,,,,
7,Centralized,Densenet121,0.075221848487854,0.3872,0.4002403783451882,0.38719999999999993,0.37954883496306413,,,,
8,Centralized,Densenet121,0.07484827986955643,0.3963,0.4206681858617607,0.39630000000000004,0.39283829672608095,,,,
9,Centralized,Densenet121,0.07408915401697158,0.4043,0.4176074642545261,0.4043,0.39969773009779047,,,,
10,Centralized,Densenet121,0.07518035613298416,0.404,0.42495097512369967,0.40399999999999997,0.404192705699356,,,,
11,Centralized,Densenet121,0.07672728155851365,0.4068,0.42517638686272746,0.4068,0.4050900485444371,,,,
12,Centralized,Densenet121,0.07747535206079482,0.4078,0.4220050657836355,0.4078,0.4047737652978731,,,,
13,Centralized,Densenet121,0.08053009725809097,0.4097,0.42697449703324336,0.4096999999999999,0.4078363470805046,,,,
14,Centralized,Densenet121,0.08322151843309403,0.4057,0.43041792276382607,0.40570000000000006,0.4068954936183588,,,,
15,Centralized,Densenet121,0.08426891810894012,0.4038,0.42723438968391647,0.40380000000000005,0.4057651757128701,,,,
16,Centralized,Densenet121,0.08715403203964234,0.4059,0.43060170262003694,0.40590000000000004,0.40617192738473273,,,,
17,Centralized,Densenet121,0.08660140219926835,0.4222,0.43175471404355237,0.42219999999999996,0.4202309111419658,,,,
18,Centralized,Densenet121,0.09358881955146789,0.4013,0.4206169034661795,0.40130000000000005,0.4014701223363544,,,,
19,Centralized,Densenet121,0.09110222903490066,0.4123,0.4306312749455259,0.41230000000000006,0.41394752077768726,,,,
20,Centralized,Densenet121,0.09197504811286926,0.418,0.43298457156303044,0.418,0.4194516494958585,,,,
21,Centralized,Densenet121,0.0956762263417244,0.4203,0.43560272542547035,0.42029999999999995,0.42127622164954937,,,,
22,Centralized,Densenet121,0.09576933652162552,0.4277,0.4340755633019656,0.4277000000000001,0.42493614127165386,,,,
23,Centralized,Densenet121,0.0993451541185379,0.4167,0.4251730371065796,0.4167,0.41345539547691634,,,,
24,Centralized,Densenet121,0.09929879620075226,0.4259,0.4336127082522276,0.42589999999999995,0.42290718885917333,,,,
25,Centralized,Densenet121,0.09767190502882003,0.4343,0.44058680483207235,0.4343,0.432985166286138,,,,
26,Centralized,Densenet121,0.09934380937814713,0.4301,0.4391134692363247,0.43010000000000004,0.4296030859531387,,,,
27,Centralized,Densenet121,0.10188197286128997,0.4254,0.43400150192992343,0.4254,0.42423227828469556,,,,
28,Centralized,Densenet121,0.10314223083257675,0.4284,0.4367364040563244,0.42839999999999995,0.4258834239558071,,,,
29,Centralized,Densenet121,0.10135447664260865,0.4329,0.44062439651969293,0.43290000000000006,0.43225782948098823,,,,
30,Centralized,Densenet121,0.10401373566389084,0.4321,0.43945591196251044,0.4321000000000001,0.4295907701794082,,,,
31,Centralized,Densenet121,0.10726299216747284,0.4219,0.4298563905053704,0.42190000000000005,0.4191187771561286,,,,
32,Centralized,Densenet121,0.10617768977880478,0.4287,0.4478504184826821,0.4287,0.43156017016155773,,,,
33,Centralized,Densenet121,0.10587255823612213,0.4382,0.4435635019605703,0.4382,0.4363525453041763,,,,
34,Centralized,Densenet121,0.10534102267026901,0.4356,0.44598106778009594,0.43559999999999993,0.435004633824842,,,,
35,Centralized,Densenet121,0.10685178556442261,0.4374,0.44176734640861026,0.43739999999999996,0.43452223747099905,,,,
36,Centralized,Densenet121,0.10733726418018341,0.4367,0.44343952060759584,0.43670000000000003,0.4355568338486668,,,,
37,Centralized,Densenet121,0.10761337730884551,0.4392,0.4379020140202766,0.4391999999999999,0.4326739417440784,,,,
38,Centralized,Densenet121,0.10611583557128906,0.4459,0.44922906840819005,0.4459,0.44345600579327477,,,,
39,Centralized,Densenet121,0.10763324180841446,0.4414,0.4458375535488722,0.44140000000000007,0.4387314343274141,,,,
40,Centralized,Densenet121,0.1088395518541336,0.4422,0.4458639968638398,0.44220000000000004,0.43970591653905833,,,,
41,Centralized,Densenet121,0.10912084881067276,0.4369,0.43995918772216663,0.43689999999999996,0.4342831678458492,,,,
42,Centralized,Densenet121,0.10959152351617812,0.4441,0.4493091079432919,0.44410000000000005,0.4425769122726349,,,,
43,Centralized,Densenet121,0.11148088438510895,0.4388,0.44118386218300637,0.43879999999999997,0.43548875986696567,,,,
44,Centralized,Densenet121,0.11192480115890503,0.4358,0.43950010726454897,0.4358000000000001,0.432259431814959,,,,
45,Centralized,Densenet121,0.11084921290874482,0.446,0.45261228986676594,0.44599999999999995,0.4450244414266098,,,,
46,Centralized,Densenet121,0.11135132147073745,0.4436,0.449203277971625,0.44359999999999983,0.4404492052676292,,,,
47,Centralized,Densenet121,0.11270182223320008,0.439,0.44283414066816357,0.4389999999999999,0.43687545632667807,,,,
48,Centralized,Densenet121,0.11208341255187988,0.4444,0.4443692293269141,0.44439999999999996,0.4403085913770979,,,,
49,Centralized,Densenet121,0.11218642715215683,0.4428,0.44415674333620864,0.4428,0.4395975684497531,,,,
50,Centralized,Densenet121,0.11298872256278991,0.4441,0.45207232621618404,0.44410000000000005,0.4438892114792484,,,,
51,Centralized,Densenet121,0.1170887341618538,0.4308,0.4323366479604186,0.43079999999999996,0.4230184729983458,,,,
52,Centralized,Densenet121,0.11581906934976578,0.4353,0.4426958538739126,0.4353,0.4335387478624942,,,,
53,Centralized,Densenet121,0.11335354578495026,0.4473,0.44936768261619014,0.4473,0.44332474815893647,,,,
54,Centralized,Densenet121,0.11577155607938766,0.4395,0.4476628834810905,0.4395000000000001,0.4386275981476917,,,,
55,Centralized,Densenet121,0.11387683951854706,0.44,0.4401506813030682,0.44,0.4368074765155431,,,,
56,Centralized,Densenet121,0.11567414665222168,0.4357,0.4400662382657518,0.4356999999999999,0.4336318318240144,,,,
57,Centralized,Densenet121,0.11484522780179977,0.4504,0.45493947881097413,0.45039999999999997,0.44885199253731384,,,,
58,Centralized,Densenet121,0.11594479495286941,0.4398,0.44526655810392546,0.4398,0.43807538838878884,,,,
59,Centralized,Densenet121,0.11661770632266999,0.4385,0.4449871864233234,0.43849999999999995,0.43776193514688044,,,,
60,Centralized,Densenet121,0.11659887118339539,0.4433,0.45272722405093296,0.44329999999999997,0.4433197927124091,,,,
61,Centralized,Densenet121,0.11657877011299134,0.4438,0.449987543633605,0.44380000000000003,0.44386007184546983,,,,
62,Centralized,Densenet121,0.11791797111034394,0.4398,0.44193687584818475,0.4398,0.4350046603636369,,,,
63,Centralized,Densenet121,0.11665252647399903,0.4441,0.45119276580739465,0.44409999999999994,0.4431546866282654,,,,
64,Centralized,Densenet121,0.11642747783660888,0.4474,0.4469834354757867,0.44739999999999996,0.4433161899160507,,,,
65,Centralized,Densenet121,0.1181575044631958,0.4438,0.44843511612684056,0.44380000000000003,0.44110918573131846,,,,
66,Centralized,Densenet121,0.11749093708992005,0.4464,0.4509560663491644,0.4464,0.4451307570561134,,,,
67,Centralized,Densenet121,0.11902252343893051,0.4408,0.443722241374789,0.44079999999999997,0.4382537521252082,,,,
68,Centralized,Densenet121,0.1169862214922905,0.4498,0.45097367241992536,0.4498,0.4468378844146862,,,,
69,Centralized,Densenet121,0.11909208488464355,0.4428,0.44646842514525026,0.4428,0.4403617622457727,,,,
70,Centralized,Densenet121,0.11762645920515061,0.4454,0.4473535014978019,0.4454,0.44302055296037124,,,,
71,Centralized,Densenet121,0.11861031304597855,0.4445,0.4453498749444863,0.4445,0.4416335012854333,,,,
72,Centralized,Densenet121,0.11912263330221176,0.441,0.4464227699125842,0.441,0.438379426503018,,,,
73,Centralized,Densenet121,0.11700952954292297,0.4484,0.4495482670162728,0.44839999999999997,0.4458158215252058,,,,
74,Centralized,Densenet121,0.120212912607193,0.443,0.44553297363334826,0.44300000000000006,0.43960102563714337,,,,
75,Centralized,Densenet121,0.11971310036182403,0.4442,0.447028557264826,0.44419999999999993,0.44131040705353913,,,,
76,Centralized,Densenet121,0.11937545325756073,0.4402,0.44468442389103424,0.44020000000000004,0.4385841195067362,,,,
77,Centralized,Densenet121,0.12195999772548675,0.4415,0.4435957527531804,0.4415,0.43686875334585956,,,,
78,Centralized,Densenet121,0.11960418878793716,0.4447,0.44311790246770605,0.44469999999999993,0.44026364234753473,,,,
79,Centralized,Densenet121,0.12044218566417694,0.4428,0.44442049810799383,0.44280000000000014,0.44010665350934564,,,,
80,Centralized,Densenet121,0.12040553733110428,0.4459,0.4482778339965238,0.4459,0.4431856681373183,,,,
81,Centralized,Densenet121,0.11948706187009811,0.4419,0.4408472159983271,0.44189999999999996,0.43810126614975364,,,,
82,Centralized,Densenet121,0.12110036289691925,0.4417,0.44745724106190893,0.4416999999999999,0.43957031849422157,,,,
83,Centralized,Densenet121,0.12775404918193817,0.4303,0.4416827460360098,0.4303,0.42723172209378524,,,,
84,Centralized,Densenet121,0.11960404621362686,0.4521,0.4556735102882458,0.45210000000000006,0.4497262616935193,,,,
85,Centralized,Densenet121,0.11991827458143234,0.4434,0.44003764911022086,0.44339999999999996,0.43810283576388526,,,,
86,Centralized,Densenet121,0.12152862303256988,0.4431,0.44480033170233907,0.4430999999999999,0.43976746970235703,,,,
87,Centralized,Densenet121,0.12006849281787872,0.4463,0.4504042319703458,0.44630000000000003,0.4450342144388307,,,,
88,Centralized,Densenet121,0.12069325528144836,0.4448,0.44581729094414696,0.4448,0.4414157338591066,,,,
89,Centralized,Densenet121,0.12042672430276871,0.4455,0.44173721246618297,0.44549999999999995,0.43971498424373157,,,,
90,Centralized,Densenet121,0.12151274913549423,0.4463,0.448535879934143,0.4463,0.4432250912716661,,,,
91,Centralized,Densenet121,0.12180714565515519,0.4432,0.44582790162487085,0.4431999999999999,0.4404282501231503,,,,
92,Centralized,Densenet121,0.1224346018910408,0.445,0.44593392549564986,0.445,0.44156496688901703,,,,
93,Centralized,Densenet121,0.12452194110155106,0.4359,0.4447998439630154,0.4359,0.43508841643174295,,,,
94,Centralized,Densenet121,0.12391441805362702,0.441,0.44343301621956804,0.44100000000000017,0.438511611306522,,,,
95,Centralized,Densenet121,0.12170312584638596,0.4462,0.4425743289583697,0.4462,0.4410867936330837,,,,
96,Centralized,Densenet121,0.1228681438088417,0.4381,0.44177119147120997,0.43809999999999993,0.43564691828974206,,,,
97,Centralized,Densenet121,0.11979155459403992,0.4496,0.4503874783911581,0.4496,0.44752104187089736,,,,
98,Centralized,Densenet121,0.12340201669931412,0.442,0.44972339829058394,0.4419999999999999,0.4414310433707352,,,,
99,Centralized,Densenet121,0.12284411478042602,0.4449,0.44885766126890175,0.4449,0.4430210234307222,,,,
100,Centralized,Densenet121,0.12136710735559464,0.4527,0.4497902433752074,0.45270000000000005,0.44792820273044187,,,,
1,Federated,Densenet121,0.14144300398826598,0.0281,0.035629064004021306,0.0281,0.015351270795898056,0.027600000000000003,0.016667432390803906,0.025568784704839125,0.012292455935123429
2,Federated,Densenet121,0.13352757210731506,0.0557,0.0665271787061,0.0557,0.04069987027388607,0.060399999999999995,0.052000650427929694,0.06403730158730157,0.0447740359518862
3,Federated,Densenet121,0.12573866529464722,0.0854,0.09485441546309543,0.0854,0.06334915608186376,0.07680000000000001,0.06272427756723183,0.08335056689342404,0.05551146741325454
4,Federated,Densenet121,0.12115836715698242,0.1116,0.10149857639840457,0.1116,0.08437565626613287,0.11080000000000001,0.10038037341163886,0.11889107547781017,0.08458630539516195
5,Federated,Densenet121,0.11698646275997161,0.1341,0.13569739644146983,0.13410000000000002,0.10734617878362694,0.126,0.09622007282199749,0.13159279794279793,0.09361090463612688
6,Federated,Densenet121,0.11338300337791443,0.1525,0.1536678148346358,0.1525,0.12455631755539363,0.148,0.12811754660958202,0.15490225453558787,0.11446288796960455
7,Federated,Densenet121,0.10998308732509612,0.1705,0.18163426591202847,0.17050000000000004,0.14475644276140093,0.17560000000000003,0.15098002215970366,0.17563924162257497,0.1387711219143214
8,Federated,Densenet121,0.10724273898601532,0.1878,0.18873527475957338,0.18779999999999997,0.16486395953072028,0.1808,0.16234010489682316,0.1823224386724387,0.14657455486114293
9,Federated,Densenet121,0.1052438665151596,0.1961,0.1991436502270829,0.19610000000000002,0.17220487110616076,0.19319999999999998,0.18658887321941314,0.1939149591149591,0.16248723091919276
10,Federated,Densenet121,0.10279477183818816,0.2146,0.2163224965577948,0.2146,0.1918813429124228,0.2072,0.19343053042678296,0.20876632256632255,0.1699153514082053
11,Federated,Densenet121,0.10035014493465423,0.2266,0.2209436596443669,0.22659999999999997,0.20304723653072526,0.22559999999999997,0.21069679487179488,0.22949107004107003,0.19413148000825345
